source_id,title,document_number,issuing_body,published_at,source_type,source_url,local_file,retrieved_at,sha256,verification_level
SRC-A-202-2025,Nghị quyết về sắp xếp đơn vị hành chính cấp tỉnh,202/2025/QH15,Quốc hội,2025-06-12,legal_document,https://vanban.chinhphu.vn/?classid=1&docid=213930&pageid=27160,docs/sources/ocop/2025/202-2025-QH15.pdf,2026-09-10,36e524d2e73f475800cfa1561c2bd5453ae137cde772a2045e5929a3cc0ef93c,A
SRC-A-1671-2025,Nghị quyết sắp xếp đơn vị hành chính cấp xã tỉnh Lâm Đồng,1671/NQ-UBTVQH15,Ủy ban Thường vụ Quốc hội,2025-06-16,legal_document,https://xaydungchinhsach.chinhphu.vn/toan-van-nghi-quyet-so-1671-nq-ubtvqh15-sap-xep-cac-dvhc-cap-xa-cua-tinh-lam-dong-nam-2025-119250616201715664.htm,docs/sources/ocop/2025/1671-NQ-UBTVQH15.pdf,2026-09-10,bf3e42390f9edf54d9f723f816787d12471c86c4a8ead416f62f545d60f1eabe,A
SRC-A-1489-2025,Quyết định sửa đổi Bộ tiêu chí và quy trình OCOP,1489/QĐ-TTg,Thủ tướng Chính phủ,2025-07-06,legal_document,https://vanban.chinhphu.vn/?classid=2&docid=214441&pageid=27160,docs/sources/ocop/2025/1489-QD-TTg.pdf,2026-09-10,c8feaadc85cece82579b90aaf7b5899920630f1546d08ddd3860c75cb388e4b7,A
SRC-A-643-2025,Quyết định kiện toàn Hội đồng OCOP tỉnh Lâm Đồng,643/QĐ-UBND,UBND tỉnh Lâm Đồng,2025-08-04,legal_document,https://ocoplamdong.gov.vn/Media/admin/files/Q%C4%90%20643%20UBND.pdf,docs/sources/ocop/2025/643-QD-UBND.pdf,2026-09-10,08cdfd094099587090a4cb7bc4c3cb4ca5abee88ac2a85d7962cd2861183fa8b,A
SRC-A-1253-2025,Quyết định ban hành Quy chế hoạt động Hội đồng OCOP tỉnh Lâm Đồng,1253/QĐ-UBND,UBND tỉnh Lâm Đồng,2025-09-09,legal_document,https://ocoplamdong.gov.vn/Media/admin/files/QD%201253.pdf,docs/sources/ocop/2025/1253-QD-UBND.pdf,2026-09-10,28b2807256cd84cef53189047a517b4706735437f45d3a281f59d7d7989458c1,A
SRC-A-858-2025,Quyết định công nhận 5 sản phẩm OCOP 4 sao tỉnh Đắk Nông,858/QĐ-UBND,UBND tỉnh Đắk Nông,2025-06-19,recognition_decision,https://ocoplamdong.gov.vn/Media/admin/files/Q%C4%90%20c%C3%B4ng%20nh%E1%BA%ADn%204%20sao%202025.pdf,docs/sources/ocop/2025/858-QD-UBND-Dak-Nong.pdf,2026-09-10,9c32e510460d14c329da26f034a6a952e01d8dff34399b033a44505f39f89b1e,A
SRC-A-1887-2025,Quyết định công nhận 8 sản phẩm OCOP 3 sao huyện Đắk Song,1887/QĐ-UBND,UBND huyện Đắk Song,2025-06-16,recognition_decision,https://ocoplamdong.gov.vn/Media/admin/files/DakSong%202025.pdf,docs/sources/ocop/2025/Dak-Song-OCOP-2025.pdf,2026-09-10,0edd9db0def8122f7e74547d54e0942dff3356ddbbe0d452d1125f513267807b,A
SRC-A-768-2025,Quyết định công nhận 2 sản phẩm OCOP 3 sao huyện Cư Jút,768/QĐ-UBND,UBND huyện Cư Jút,2025-05-07,recognition_decision,https://ocoplamdong.gov.vn/Media/admin/files/Cu%20Jut.pdf,docs/sources/ocop/2025/Cu-Jut-OCOP-2025.pdf,2026-09-10,d0823df7fdde9234d4f3bc9455f3828e3fdab48430619f690153a0a26ac6e87a,A
SRC-B1-DUCTRONG-2025,Đức Trọng trao giấy chứng nhận 22 sản phẩm OCOP,,Báo Lâm Đồng,2025-06-27,government_news,https://baolamdong.vn/duc-trong-trao-giay-chung-nhan-22-san-pham-ocop-277131.html,,2026-09-10,,B1
SRC-B2-BINHTHUAN-2025,21 sản phẩm đề xuất đánh giá OCOP 4 sao cấp tỉnh,,Báo Lâm Đồng,2025-06-10,government_news,https://baolamdong.vn/21-san-pham-de-xuat-danh-gia-ocop-4-sao-cap-tinh-280461.html,,2026-09-10,,B2
SRC-B1-BINHTHUAN-2025,Trao giấy chứng nhận sản phẩm OCOP 4 sao cho 21 sản phẩm,,Báo Lâm Đồng,2025-06-26,government_news,https://baolamdong.vn/trao-giay-chung-nhan-san-pham-ocop-4-sao-cho-21-san-pham-280929.html,,2026-09-10,,B1
SRC-B1-TANHLINH-2025,Tánh Linh công nhận thêm 3 sản phẩm OCOP 3 sao,,Báo Lâm Đồng,2025-01-16,government_news,https://baolamdong.vn/bbt/tanh-linh-cong-nhan-them-3-san-pham-ocop-3-sao-130891.html,,2026-09-10,,B1
SRC-A-26-2026,Quyết định ban hành Bộ tiêu chí và quy trình OCOP,26/2026/QĐ-TTg,Thủ tướng Chính phủ,2026-05-22,legal_document,https://vanban.chinhphu.vn/?classid=1&docid=218267&orggroupid=3&pageid=27160,docs/sources/ocop/2026/26-2026-QD-TTg.pdf,2026-09-10,1916672a65212ad2591e2cc91718c626717c4f81b81457743da4374a72dfdd7a,A
SRC-A-3981-2026,Quyết định công nhận 9 sản phẩm OCOP 3 sao tỉnh Lâm Đồng đợt 1 năm 2026,3981/QĐ-UBND,UBND tỉnh Lâm Đồng,2026-08-05,recognition_decision,https://ocoplamdong.gov.vn/Media/admin/files/225%20Quye%CC%82%CC%81t%20%C4%91i%CC%A3nh%20Q%C4%90%20cu%CC%89a%20UBND%20ti%CC%89nh_signed%281%29.pdf,docs/sources/ocop/2026/3981-QD-UBND.pdf,2026-09-10,ffd4ec3475c25d404e53dc431789560fd3d5536f3efe9228d34bfa6f377c5a3c,A
SRC-B1-STATS-2025,Lâm Đồng phân hạng sản phẩm OCOP cấp tỉnh đợt 2 năm 2025,,Báo Lâm Đồng,2025-12-29,government_news,https://baolamdong.vn/lam-dong-phan-hang-san-pham-ocop-cap-tinh-dot-2-nam-2025-414467.html,,2026-09-10,,B1
SRC-B1-STATS-2026,Chi cục Phát triển nông thôn triển khai chuỗi lớp tập huấn OCOP năm 2026,,Cổng thông tin OCOP Lâm Đồng,2026-05-20,government_portal,https://ocoplamdong.gov.vn/tin-tuc/chi-cuc-phat-trien-nong-thon-trien-khai-chuoi-lop-tap-huan-chuong-trinh-ocop-nam-2026-7193.html,,2026-09-10,,B1
SRC-B1-STATS-2026-LATEST,Lâm Đồng nâng tầm nông sản đặc trưng qua đánh giá phân hạng sản phẩm OCOP,,Tạp chí Khoa học và Công nghệ Việt Nam,2026-07-24,government_news,https://vjst.vn/lam-dong-nang-tam-nong-san-dac-trung-thong-qua-danh-gia-phan-hang-san-pham-ocop-87338.html,,2026-09-10,,B1
